regime,start,end,hours,days,move_pts,move_pct,hi_lo_pts,capture,avg_atr,avg_adx,avg_er
TREND_UP,2026-01-09 06:00,2026-01-30 10:00,348,14.5,652.5,14.61,1140.6,0.57,25.35,31.0,0.202
VOLATILE,2026-01-30 11:00,2026-02-09 19:00,147,6.1,32.7,0.65,742.7,0.04,69.58,36.0,0.075
RANGE,2026-02-09 20:00,2026-02-23 12:00,221,9.2,100.2,1.98,334.3,0.3,26.31,21.2,0.063
TREND_UP,2026-02-23 13:00,2026-02-26 10:00,67,2.8,29.6,0.58,156.6,0.19,23.82,23.0,0.169
RANGE,2026-02-26 11:00,2026-03-03 01:00,60,2.5,159.5,3.08,288.9,0.55,24.65,28.7,0.141
VOLATILE,2026-03-03 02:00,2026-03-10 04:00,118,4.9,-166.1,-3.1,383.6,0.43,36.67,28.7,0.05
RANGE,2026-03-10 05:00,2026-03-16 12:00,100,4.2,-190.6,-3.69,271.1,0.7,23.65,28.2,0.038
TREND_DOWN,2026-03-16 13:00,2026-03-25 16:00,165,6.9,-454.0,-9.08,945.5,0.48,41.55,33.7,0.219
VOLATILE,2026-03-25 17:00,2026-03-30 10:00,63,2.6,-39.8,-0.87,228.1,0.17,36.21,23.1,0.082
RANGE,2026-03-30 11:00,2026-04-01 13:00,49,2.0,193.0,4.25,265.0,0.73,31.79,28.8,0.088
TREND_UP,2026-04-01 14:00,2026-04-06 06:00,39,1.6,-111.9,-2.35,246.3,0.45,35.33,40.1,0.095
RANGE,2026-04-06 07:00,2026-04-28 10:00,372,15.5,-26.0,-0.56,282.0,0.09,21.38,20.8,0.073
TREND_DOWN,2026-04-28 11:00,2026-05-01 01:00,60,2.5,0.8,0.02,136.6,0.01,18.93,39.7,0.144
RANGE,2026-05-01 02:00,2026-05-07 09:00,100,4.2,112.6,2.43,249.4,0.45,18.41,26.4,0.096
VOLATILE,2026-05-07 10:00,2026-05-11 11:00,48,2.0,-75.6,-1.59,116.6,0.65,20.79,25.8,0.095
RANGE,2026-05-11 12:00,2026-05-15 09:00,90,3.8,-86.7,-1.86,217.1,0.4,18.45,20.2,0.082
TREND_DOWN,2026-05-15 10:00,2026-05-21 18:00,101,4.2,-58.9,-1.29,135.5,0.43,21.22,31.7,0.157
RANGE,2026-05-21 19:00,2026-06-05 14:00,247,10.3,-49.2,-1.09,228.7,0.22,17.38,25.1,0.045
TREND_DOWN,2026-06-05 15:00,2026-06-15 20:00,144,6.0,-81.2,-1.84,452.0,0.18,24.49,33.6,0.182
RANGE,2026-06-15 21:00,2026-06-18 14:00,63,2.6,-83.6,-1.93,163.2,0.51,17.69,19.6,0.073
VOLATILE,2026-06-18 15:00,2026-06-22 07:00,35,1.5,-64.8,-1.53,154.8,0.42,20.78,34.1,0.054
TREND_DOWN,2026-06-22 08:00,2026-06-26 21:00,106,4.4,-126.5,-3.02,255.9,0.49,21.31,31.0,0.167
RANGE,2026-06-26 22:00,2026-07-03 06:00,100,4.2,104.2,2.56,251.8,0.41,19.41,25.4,0.093
TREND_UP,2026-07-03 07:00,2026-07-07 23:00,59,2.5,-73.1,-1.75,110.4,0.66,15.84,28.2,0.107
RANGE,2026-07-08 01:00,2026-07-17 23:00,184,7.7,-80.2,-1.96,178.3,0.45,16.67,23.5,0.088
